keyword,locale,language,intent,problem_cluster,metric_name,metric_value,metric_unit,trend_direction,source_name,source_url,captured_at_utc,assigned_route,notes
usb c hub,EG,en,commercial investigation,ports/connectivity,google_autocomplete_presence,returned,qualitative,not_measured,Google Autocomplete Egypt,https://suggestqueries.google.com/complete/search?client=firefox&hl=en&gl=eg&q=usb%20c%20hub,2026-07-14T23:52:11Z,/products/usb-c-hub/,PRIMARY; evidence SEO-KW-001; proxy is not search volume
usb c hub with hdmi,EG,en,commercial investigation,ports/connectivity,google_autocomplete_presence,returned,qualitative,not_measured,Google Autocomplete Egypt,https://suggestqueries.google.com/complete/search?client=firefox&hl=en&gl=eg&q=usb%20c%20hub,2026-07-14T23:52:11Z,/products/usb-c-hub/,SUPPORT; evidence SEO-KW-002; product-feature intent
usb c hub with ethernet,EG,en,commercial investigation,ports/connectivity,google_autocomplete_presence,returned,qualitative,not_measured,Google Autocomplete Egypt,https://suggestqueries.google.com/complete/search?client=firefox&hl=en&gl=eg&q=usb%20c%20hub,2026-07-14T23:52:11Z,/products/usb-c-hub/,SUPPORT; evidence SEO-KW-003; product-feature intent
usb c hub adapter,EG,en,commercial investigation,ports/connectivity,google_autocomplete_presence,returned,qualitative,not_measured,Google Autocomplete Egypt,https://suggestqueries.google.com/complete/search?client=firefox&hl=en&gl=eg&q=usb%20c%20hub,2026-07-14T23:52:11Z,/products/usb-c-hub/,SUPPORT; evidence SEO-KW-004; synonym intent
موزع يو اس بي تايب سي,EG,ar,commercial investigation,ports/connectivity,google_autocomplete_presence,returned,qualitative,not_measured,Google Autocomplete Egypt Arabic,https://suggestqueries.google.com/complete/search?client=firefox&hl=ar&gl=eg&q=%D9%85%D9%88%D8%B2%D8%B9%20%D9%8A%D9%88%20%D8%A7%D8%B3%20%D8%A8%D9%8A,2026-07-14T23:52:11Z,/products/usb-c-hub/,SUPPORT; evidence SEO-KW-005; Arabic term
هاب type c,EG,mixed,commercial investigation,ports/connectivity,google_autocomplete_presence,returned,qualitative,not_measured,Google Autocomplete Egypt Arabic,https://suggestqueries.google.com/complete/search?client=firefox&hl=ar&gl=eg&q=%D9%87%D8%A7%D8%A8%20type%20c,2026-07-14T23:52:11Z,/products/usb-c-hub/,SUPPORT; evidence SEO-KW-006; mixed/transliterated loan phrase
laptop stand,EG,en,commercial investigation,posture,google_autocomplete_presence,returned,qualitative,not_measured,Google Autocomplete Egypt,https://suggestqueries.google.com/complete/search?client=firefox&hl=en&gl=eg&q=laptop%20stand,2026-07-14T23:52:11Z,/products/laptop-stand/,PRIMARY; evidence SEO-KW-007; proxy is not search volume
laptop stand egypt,EG,en,transactional,posture,google_autocomplete_presence,returned,qualitative,not_measured,Google Autocomplete Egypt,https://suggestqueries.google.com/complete/search?client=firefox&hl=en&gl=eg&q=laptop%20stand,2026-07-14T23:52:11Z,/products/laptop-stand/,SUPPORT; evidence SEO-KW-008; local modifier
laptop stand for desk,EG,en,commercial investigation,posture,google_autocomplete_presence,returned,qualitative,not_measured,Google Autocomplete Egypt,https://suggestqueries.google.com/complete/search?client=firefox&hl=en&gl=eg&q=laptop%20stand,2026-07-14T23:52:11Z,/products/laptop-stand/,SUPPORT; evidence SEO-KW-009; desk-use modifier
حامل لابتوب,EG,ar,commercial investigation,posture,google_autocomplete_presence,returned,qualitative,not_measured,Google Autocomplete Egypt Arabic,https://suggestqueries.google.com/complete/search?client=firefox&hl=ar&gl=eg&q=%D8%AD%D8%A7%D9%85%D9%84%20%D9%84%D8%A7%D8%A8%D8%AA%D9%88%D8%A8,2026-07-14T23:52:11Z,/products/laptop-stand/,SUPPORT; evidence SEO-KW-010; Arabic term
حامل لابتوب قابل للطي,EG,ar,commercial investigation,posture,google_autocomplete_presence,returned,qualitative,not_measured,Google Autocomplete Egypt Arabic,https://suggestqueries.google.com/complete/search?client=firefox&hl=ar&gl=eg&q=%D8%AD%D8%A7%D9%85%D9%84%20%D9%84%D8%A7%D8%A8%D8%AA%D9%88%D8%A8,2026-07-14T23:52:11Z,/products/laptop-stand/,SUPPORT; evidence SEO-KW-011; foldable feature
ستاند لابتوب,EG,ar,commercial investigation,posture,google_autocomplete_presence,returned,qualitative,not_measured,Google Autocomplete Egypt Arabic,https://suggestqueries.google.com/complete/search?client=firefox&hl=ar&gl=eg&q=%D8%B3%D8%AA%D8%A7%D9%86%D8%AF%20%D9%84%D8%A7%D8%A8%D8%AA%D9%88%D8%A8,2026-07-14T23:52:11Z,/products/laptop-stand/,SUPPORT; evidence SEO-KW-012; transliterated loan phrase
laptop cooling pad,EG,en,commercial investigation,thermal management,google_autocomplete_presence,returned,qualitative,not_measured,Google Autocomplete Egypt,https://suggestqueries.google.com/complete/search?client=firefox&hl=en&gl=eg&q=laptop%20cooling%20pad,2026-07-14T23:52:11Z,/products/laptop-cooling-pad/,PRIMARY; evidence SEO-KW-013; proxy is not search volume
laptop cooling pad egypt,EG,en,transactional,thermal management,google_autocomplete_presence,returned,qualitative,not_measured,Google Autocomplete Egypt,https://suggestqueries.google.com/complete/search?client=firefox&hl=en&gl=eg&q=laptop%20cooling%20pad,2026-07-14T23:52:11Z,/products/laptop-cooling-pad/,SUPPORT; evidence SEO-KW-014; local modifier
laptop cooling pad for gaming,EG,en,commercial investigation,thermal management,google_autocomplete_presence,returned,qualitative,not_measured,Google Autocomplete Egypt,https://suggestqueries.google.com/complete/search?client=firefox&hl=en&gl=eg&q=laptop%20cooling%20pad,2026-07-14T23:52:11Z,/products/laptop-cooling-pad/,SUPPORT; evidence SEO-KW-015; audience modifier
مبرد لابتوب,EG,ar,commercial investigation,thermal management,google_autocomplete_presence,returned,qualitative,not_measured,Google Autocomplete Egypt Arabic,https://suggestqueries.google.com/complete/search?client=firefox&hl=ar&gl=eg&q=%D9%85%D8%A8%D8%B1%D8%AF%20%D9%84%D8%A7%D8%A8%D8%AA%D9%88%D8%A8,2026-07-14T23:52:11Z,/products/laptop-cooling-pad/,SUPPORT; evidence SEO-KW-016; Arabic product term
قاعدة تبريد لابتوب,EG,ar,commercial investigation,thermal management,google_autocomplete_presence,returned,qualitative,not_measured,Google Autocomplete Egypt Arabic,https://suggestqueries.google.com/complete/search?client=firefox&hl=ar&gl=eg&q=%D9%82%D8%A7%D8%B9%D8%AF%D8%A9%20%D8%AA%D8%A8%D8%B1%D9%8A%D8%AF%20%D9%84%D8%A7%D8%A8%D8%AA%D9%88%D8%A8,2026-07-14T23:52:11Z,/products/laptop-cooling-pad/,SUPPORT; evidence SEO-KW-017; Arabic product term
كولينج باد لابتوب,EG,ar,commercial investigation,thermal management,google_autocomplete_expansion,not_returned,qualitative,not_measured,Google Autocomplete Egypt Arabic,https://suggestqueries.google.com/complete/search?client=firefox&hl=ar&gl=eg&q=%D9%83%D9%88%D9%84%D9%8A%D9%86%D8%AC%20%D8%A8%D8%A7%D8%AF%20%D9%84%D8%A7%D8%A8%D8%AA%D9%88%D8%A8,2026-07-14T23:52:11Z,/products/laptop-cooling-pad/,SUPPORT; evidence SEO-KW-018; transliterated candidate retained as weak evidence
cable management desk,EG,en,commercial investigation,cable control,google_autocomplete_presence,returned,qualitative,not_measured,Google Autocomplete Egypt,https://suggestqueries.google.com/complete/search?client=firefox&hl=en&gl=eg&q=cable%20management%20desk,2026-07-14T23:52:11Z,/products/desk-cable-management/,PRIMARY; evidence SEO-KW-019; proxy is not search volume
cable management desk tray,EG,en,commercial investigation,cable control,google_autocomplete_presence,returned,qualitative,not_measured,Google Autocomplete Egypt,https://suggestqueries.google.com/complete/search?client=firefox&hl=en&gl=eg&q=cable%20management%20desk,2026-07-14T23:52:11Z,/products/desk-cable-management/,SUPPORT; evidence SEO-KW-020; tray feature
cable management desk box,EG,en,commercial investigation,cable control,google_autocomplete_presence,returned,qualitative,not_measured,Google Autocomplete Egypt,https://suggestqueries.google.com/complete/search?client=firefox&hl=en&gl=eg&q=cable%20management%20desk,2026-07-14T23:52:11Z,/products/desk-cable-management/,SUPPORT; evidence SEO-KW-021; box feature
under desk cable management tray,EG,en,transactional,cable control,retailer_listing_presence,present,qualitative,not_measured,Noon Egypt,https://www.noon.com/egypt-en/under-desk-cable-management-tray-black-with-clamp-for-wire-management-cord-organization-box-for-office-home/Z856C2530446425AD6097Z/p/,2026-07-14T23:52:11Z,/products/desk-cable-management/,SUPPORT; evidence SEO-KW-022; exact local listing terminology
cable organizer egypt,EG,en,transactional,cable control,google_autocomplete_presence,returned,qualitative,not_measured,Google Autocomplete Egypt,https://suggestqueries.google.com/complete/search?client=firefox&hl=en&gl=eg&q=cable%20organizer%20egypt,2026-07-14T23:52:11Z,/products/desk-cable-management/,SUPPORT; evidence SEO-KW-023; local modifier
