candidate_id,problem_cluster,product_name,brand,model,problem_solved,amazon_egypt_url,noon_egypt_url,manufacturer_url,price_egp,price_source_url,stock_observation,seller_fulfillment,compatibility,risk_status,closest_alternative,rejection_reason,captured_at_utc,notes
"PP-C01","ports_connectivity","Anker 332 USB-C Hub (5-in-1)","Anker","A8355 / A8355H11","Adds HDMI, USB data ports, and pass-through charging to a USB-C laptop.","https://www.amazon.eg/-/en/dp/B0BQLLB61B","https://www.noon.com/egypt-en/anker-332-usb-c-hub-5-in-1-usb-c-connector-with-4k-hdmi-100w-power-charger-black-a8355h11/N70086896V/p/","https://www.anker.com/products/a8355","1539","https://www.amazon.eg/-/en/dp/B0BQLLB61B","Amazon: in stock; Noon: only 5 left at capture.","Amazon.eg seller/shipper; Noon sold by Dokkan Tech with noon-express.","USB-C host with DisplayPort Alt Mode; HDMI up to 4K@30Hz; USB-C PD input up to 100W with up to 85W laptop output.","ELIGIBLE","Baseus UltraJoy BS-OH150 — rejected from launch for single-retailer dependence.","","2026-07-15T00:20:00Z","Evidence PP-E001, PP-E002, PP-E027, PP-E028. Charger is not included; verify host video output and use a compliant PD charger/cable."
"PP-C02","ports_connectivity","UGREEN Revodok 105 USB-C Hub (5-in-1)","UGREEN","CM478 / 15495","Adds HDMI, USB data ports, and USB-C power delivery to a USB-C laptop.","","https://www.noon.com/egypt-en/usb-c-hub-with-100w-pd-charging-type-c-to-hdmi-4k-at-30hz-adapter-usb-hub-30-5gbps-data-transfer-ports-compatible-for-macbook-pro-air-m3-m2-m1-ipad-pro-m4-iphone-16-15-pro-pro-max-lenovo-dell-hp-space-grey/N53417515A/p/?o=e8554e7ba41c85fa","https://www.ugreen.com/products/usa-15495","952.85","https://www.noon.com/egypt-en/usb-c-hub-with-100w-pd-charging-type-c-to-hdmi-4k-at-30hz-adapter-usb-hub-30-5gbps-data-transfer-ports-compatible-for-macbook-pro-air-m3-m2-m1-ipad-pro-m4-iphone-16-15-pro-pro-max-lenovo-dell-hp-space-grey/N53417515A/p/?o=e8554e7ba41c85fa","Add-to-cart; 50+ recent sales shown; numeric stock not shown.","Sold by wusool; noon-express; one-year warranty.","USB-C host; HDMI up to 4K@30Hz; 100W PD input; one USB 3.0 and two USB 2.0 ports.","QUARANTINE_SINGLE_RETAILER","Anker 332 A8355 / A8355H11.","No verified Amazon Egypt exact-model product page; Noon title is also ambiguous about port mix.","2026-07-14T23:54:02Z","Evidence PP-E003 and PP-E004. Manufacturer configuration controls over retailer copy."
"PP-C03","ports_connectivity","Baseus UltraJoy Series 5-Port Hub","Baseus","BS-OH150 / B00052801811-00","Adds HDMI, three USB-A data ports, and USB-C power delivery to a USB-C laptop.","","https://www.noon.com/egypt-en/baseus-ultrajoy-series-5-port-hub-docking-station-space-grey-type-c-to-hdmi4k-30hz-1-usb-3-0-3-pd-1-grey/N70045731V/p/","https://www.baseus.mx/products/adaptador-usb-c-ultrajoy-de-5-puertos-hub","749","https://www.noon.com/egypt-en/baseus-ultrajoy-series-5-port-hub-docking-station-space-grey-type-c-to-hdmi4k-30hz-1-usb-3-0-3-pd-1-grey/N70045731V/p/","Only 5 left at capture.","Sold by QDS Egypt; Noon Marketplace.","USB-C host; HDMI up to 4K@30Hz; three USB 3.0 ports; USB-C PD up to 100W.","QUARANTINE_SINGLE_RETAILER","Anker 332 A8355 / A8355H11.","No verified Amazon Egypt exact-model product page.","2026-07-14T23:54:02Z","Evidence PP-E005 and PP-E006."
"PP-C04","posture","UGREEN Foldable Laptop Stand","UGREEN","LP451 / 40289","Raises an open laptop screen and allows angle adjustment for a desk setup.","https://www.amazon.eg/-/en/dp/B08TLVKBMJ","https://www.noon.com/egypt-en/laptop-stand-aluminum-alloy-adjustable-eye-level-ergonomic-height-laptop-riser-holder-compatible-for-macbook-pro-2021-air-chromebook-and-more-storage-bag-included/N53340883A/p/","https://www.ugreen.com/tr-tr/products/tr-40289","666","https://www.amazon.eg/-/en/dp/B08TLVKBMJ","Amazon: in stock; Noon: add-to-cart with no numeric stock.","Amazon.eg seller/shipper; Noon sold by wusool with noon-express.","Manufacturer lists 8–17.3-inch laptops, five height levels, hollow ventilation, and up to 5 kg load.","ELIGIBLE","UGREEN LP230 / 80348 — rejected for non-primary specification source and missing seller evidence.","","2026-07-15T00:22:00Z","Evidence PP-E007, PP-E008, PP-E029. Pair a raised laptop with an external keyboard and mouse."
"PP-C05","posture","UGREEN Desktop Laptop Stand","UGREEN","LP230 / 80348","Raises and angles an open laptop while preserving airflow under the chassis.","","https://www.noon.com/egypt-en/laptop-stand-adjustable-foldable-lightweight-laptop-desk-stand-for-with-cooling-vented-for-all-11-17-laptop-macbook-pro-2021-macbook-air-thinkpad-matebook-etc-silver/N41896502A/p/","https://ugreen.com.pk/product/ugreen-80348-desktop-laptop-stand-silver/","499.95","https://www.noon.com/egypt-en/laptop-stand-adjustable-foldable-lightweight-laptop-desk-stand-for-with-cooling-vented-for-all-11-17-laptop-macbook-pro-2021-macbook-air-thinkpad-matebook-etc-silver/N41896502A/p/","Only 2 left at capture.","noon-express; seller was not retained.","Regional distributor page lists laptops up to 17 inches and an open airflow design.","REJECTED_SOURCE_AND_SELLER_GAP","UGREEN 40289.","No primary manufacturer source, no verified Amazon page, and missing Noon seller identity.","2026-07-14T23:54:02Z","Evidence PP-E009 and PP-E010."
"PP-C06","posture","UGREEN Adjustable Vertical Laptop Stand","UGREEN","20471","Stores a closed laptop vertically to reclaim desk space in an external-display workstation.","","https://www.noon.com/egypt-en/aluminum-vertical-laptop-and-double-desktop-stand-holder-with-adjustable-dock-space-saving-anti-slide-silicone-grips/N53423221A/p/","https://eu.ugreen.com/en-pl/products/ugreen-adjustable-vertical-laptop-stand","2290","https://www.noon.com/egypt-en/aluminum-vertical-laptop-and-double-desktop-stand-holder-with-adjustable-dock-space-saving-anti-slide-silicone-grips/N53423221A/p/","Only 2 left at capture.","Noon Marketplace; seller was not retained.","Manufacturer lists a 0.5–1-inch slot; retailer diagonal wording conflicts, so device thickness must be checked.","REJECTED_COMPATIBILITY_AND_SELLER_GAP","UGREEN 40289.","Unresolved fit conflict, single-retailer dependence, and missing seller evidence.","2026-07-14T23:54:02Z","Evidence PP-E011 and PP-E012. Closed-lid setups only."
"PP-C07","thermal","DeepCool U PAL Notebook Cooler","DeepCool","U PAL / DP-N214A5_UPAL","Adds powered airflow below a laptop and raises it slightly from the desk.","","https://www.noon.com/egypt-en/u-pal-notebook-laptop-cooler-two-silent-140mm-fans-compatible-with-15-6-inch/Z77938BBCD23D61B47614Z/p/","https://global.deepcool.com/products/Cooling/laptopcoolers/2021/11402.shtml","899","https://www.noon.com/egypt-en/u-pal-notebook-laptop-cooler-two-silent-140mm-fans-compatible-with-15-6-inch/Z77938BBCD23D61B47614Z/p/","Only 4 left at capture.","noon-express; seller was not retained.","Two 140 mm fans; 5V input; 390 × 280 × 27.5 mm; retailer positions it for 15.6-inch laptops.","REJECTED_SINGLE_RETAILER_AND_SELLER_GAP","Havit F2069.","No verified Amazon exact-model page and missing Noon seller identity.","2026-07-14T23:54:02Z","Evidence PP-E013 and PP-E014. Cooling depends on vent layout and is not a repair."
"PP-C08","thermal","Redragon WINDSEEKER Laptop Cooling Pad","Redragon","GCP512","Adds high-speed powered airflow and adjustable height below a 15–17-inch laptop.","","https://www.noon.com/egypt-en/gcp512-laptop-cooling-pad-with-5-9-fan-rapid-cooling-for-15-17-inch-laptops-variable-speed-control-4-adjustable-heights-rgb-quiet-cooling-pad-with-phone-stand/ZCC2AD59209C077A88AC4Z/p/?o=zcc2ad59209c077a88ac4z-1","https://redragonshop.com/products/windseeker-gcp512-laptop-cooling-pad","2775","https://www.noon.com/egypt-en/gcp512-laptop-cooling-pad-with-5-9-fan-rapid-cooling-for-15-17-inch-laptops-variable-speed-control-4-adjustable-heights-rgb-quiet-cooling-pad-with-phone-stand/ZCC2AD59209C077A88AC4Z/p/?o=zcc2ad59209c077a88ac4z-1","Only 5 left at capture.","Sold by PlanetGate; noon-express; no warranty shown.","Manufacturer lists 15–17-inch compatibility, 1800–2400 RPM, 52–58 dB, 5V input, and four heights.","REJECTED_NOISE_WARRANTY_SINGLE_RETAILER","Havit F2069.","High stated noise, no captured warranty, and no verified Amazon exact-model page.","2026-07-14T23:54:02Z","Evidence PP-E015 and PP-E016."
"PP-C09","cable_control","JOYROOM Magnetic Cable Organizer (6 pcs)","JOYROOM","JR-ZS368","Keeps frequently used charging and peripheral cables anchored at the desk edge.","https://www.amazon.eg/-/en/dp/B0DJH1W2N4","https://www.noon.com/egypt-en/joyroom-cable-organiser-jr-zs368-magnetic-black-6-pcs/ZDB64AB2F8DE78C016649Z/p/?o=zdb64ab2f8de78c016649z-1","https://www.joyroom.com/products/joyroom-jr-zs368-magnetic-cable-organizer-9pcs-b2c","279","https://www.amazon.eg/-/en/dp/B0DJH1W2N4","Amazon: only 1 left; Noon: only 2 left.","Amazon sold by Basics EG; shipping party unclear. Noon sold by attention store with noon-express.","Manufacturer includes a six-piece variant for cables under 7.5 mm diameter.","ELIGIBLE_WITH_PRICE_AND_STOCK_CAUTION","UGREEN-branded CB-54259 clips — rejected for manufacturer identity failure.","","2026-07-15T00:27:00Z","Evidence PP-E017, PP-E018, PP-E030. Noon price was unusually high versus Amazon; recheck before publication."
"PP-C10","input_comfort","Logitech Signature M650 Wireless Mouse (small/medium, graphite)","Logitech","M650 small/medium graphite / 910-006253","Provides a separate quiet mouse sized for small-to-medium right hands.","https://www.amazon.eg/-/en/dp/B09QWY7JYK","https://www.noon.com/egypt-en/signature-m650-wireless-mouse-for-small-to-medium-sized-hands-silent-clicks-5-buttons-bluetooth-multi-device-compatibility-400-dpi-nominal-value-10m-range-black/N53285882A/p/","https://www.logitech.com/en-us/products/mice/m650-signature-wireless-mouse.html","1749","https://www.noon.com/egypt-en/signature-m650-wireless-mouse-for-small-to-medium-sized-hands-silent-clicks-5-buttons-bluetooth-multi-device-compatibility-400-dpi-nominal-value-10m-range-black/N53285882A/p/","Amazon: only 4 left; Noon: add-to-cart with no numeric stock.","Amazon sold by Dokkan Tech; shipping party not exposed. Noon sold by Dokkan Tech with noon-express.","Bluetooth Low Energy and Logi Bolt; 200–4000 DPI; right-handed small-to-medium sizing.","ELIGIBLE_WITH_PART_NUMBER_MAPPING_CAUTION","Logitech Lift 910-006473 — rejected for variant co-mingling.","","2026-07-15T00:30:00Z","Evidence PP-E019, PP-E020, PP-E031. Amazon title matches M650 graphite small/medium but does not expose the regional part number; compare by named variant."
